6232	Heby	Heby	0331	1	354	2 687	759		354	2 550	721		0	-137				
0564	Hummelsta	Enköping	0381	1	70	1 009	1 449		70	1 002	1 439		0	-7				
0566	Håga	Uppsala	0380		20	317	1 583		20	302	1 508		0	-15				
0570	Häggeby och Vreta	Håbo	0305		62	219	356		62	224	364		0	5				
0568	Järlåsa	Uppsala	0380		57	451	796		57	493	870		0	42				
0572	Karlholmsbruk	Tierp	0360	1	237	1 187	501		237	1 150	485		0	-37				
0576	Knivsta	Knivsta	0330		420	6 898	1 642		421	7 081	1 683		0	183				
0580	Knutby	Uppsala	0380		55	534	973		55	564	1 028		0	30				
0584	Krägga	Håbo	0305		65	238	365		66	331	505		0	93				
0588	Lillkyrka	Enköping	0381		35	300	855		35	301	858		0	1				
0590	Läby	Uppsala	0380		30	230	771		30	220	737		0	-10				
0592	Länna	Uppsala	0380		95	698	734		95	685	720		0	-13				
0596	Lövstalöt	Uppsala	0380		68	982	1 438		71	1 046	1 479		2	64				
0600	Marma	Älvkarleby	0319		68	304	445		68	298	436		0	-6				
0604	Mehedeby	Tierp	0360		72	476	665		72	463	646		0	-13				
6276	Morgongåva	Heby	0331		159	1 351	849		159	1 409	886		0	58				
0608	Månkarbo	Tierp	0360		91	670	735		91	666	730		0	-4				
0610	Norrskedika	Östhammar	0382	1	60	223	369		60	214	354		0	-9				
0606	Ramstalund	Uppsala	0380		23	313	1 351		23	311	1 342		0	-2				
6308	Runhällen	Heby	0331		50	213	428		50	217	436		0	4				
0618	Råby	Håbo	0305	1	92	912	992		92	885	963		0	-27				
0614	Skoby 28)	Östhammar	0382		45	217	484		45	230	513		0	13				
0616	Skutskär 28)	Älvkarleby	0319	1	732	6 136	838		735	6 075	826		3	-61				
0620	Skyttorp	Uppsala	0380	1	89	664	746		89	666	748		0	2				
0624	Skärplinge	Tierp	0360	1	95	740	778		95	673	708		0	-67				
0622	Skölsta	Uppsala	0380		39	281	721		39	344	882		0	63				
0626	Slottsskogen	Håbo	0305		159	1 431	898		167	1 492	896		7	61				
0628	Storvreta	Uppsala	0380	1	288	6 083	2 114		304	6 347	2 089		16	264				
0632	Sävja	Uppsala	0380	1	394	9 414	2 391		402	9 684	2 407		9	270				
0636	Söderfors	Tierp	0360	1	227	1 597	705		227	1 572	694		0	-25				
0638	Söderskogen	Håbo	0305		59	363	612		59	378	637		0	15				
0640	Tierp	Tierp	0360		409	5 377	1 314		411	5 587	1 360		1	210				
0648	Tobo	Tierp	0360	1	103	616	597		103	607	589		0	-9				
6352	Tärnsjö	Heby	0331	1	189	1 262	669		189	1 221	645		1	-41				
0652	Upplanda	Tierp	0360		103	343	333		103	364	354		0	21				
0656	Uppsala	Uppsala	0380	1	4 767	128 409	2 694		4 877	140 454	2 880		110	12 045				
0660	Vattholma	Uppsala	0380		114	1 413	1 241		116	1 427	1 229		2	14				
6368	Vittinge	Heby	0331		130	480	368		130	460	353		0	-20				
0666	Vårdsätra	Uppsala	0380	1	28	233	820		28	237	834		0	4				
0516	Vänge	Uppsala	0380	1	77	1 245	1 623		78	1 331	1 704		1	86				
0662	Ytternäs och Vreta	Uppsala	0380		125	405	324		146	636	436		21	231				
0664	Älvkarleby	Älvkarleby	0319	1	270	1 648	610		270	1 647	610		0	-1				
0672	Örbyhus	Tierp	0360		158	1 905	1 206		158	1 984	1 256		0	79				
0676	Öregrund	Östhammar	0382	1	243	1 552	638		244	1 555	636		1	3				
0680	Örsundsbro	Enköping	0381	1	162	1 773	1 098		165	1 813	1 101		3	40				
0684	Österbybruk	Östhammar	0382		245	2 230	912		251	2 272	904		7	42				
6384	Östervåla	Heby	0331		182	1 570	860		183	1 595	873		0	25				
0688	Östhammar	Östhammar	0382	1	362	4 598	1 270		376	4 534	1 205		14	-64				
0699	Abborrberget	Strängnäs	0486		126	1 814	1 438		138	2 141	1 556		11	327
0700	Alberga	Eskilstuna	0484		42	410	978		42	395	942		0	-15				
0702	Arnö	Nyköping	0480	1	206	3 928	1 907		210	3 871	1 843		4	-57				
0704	Baggetorp	Vingåker	0428		84	519	615		84	502	595		0	-17				
0708	Bergshammar	Nyköping	0480		62	804	1 302		62	790	1 280		0	-14				
0712	Bettna	Flen	0482		99	415	418		99	412	415		0	-3				
0716	Bie	Katrineholm	0483		62	549	892		62	528	858		0	-21				
0720	Björkvik	Katrineholm	0483		96	511	534		96	492	514		0	-19				
0724	Björnlunda	Gnesta	0461		86	795	926		86	827	962		0	32				
0728	Buskhyttan	Nyköping	0480		49	213	439		49	225	458		1	12				
0730	Bälgviken	Eskilstuna	0484		39	260	662		39	253	644		0	-7				
0734	Djulö kvarn	Katrineholm	0483		30	200	675		30	209	706		0	9				
0736	Enstaberga	Nyköping	0480	1	59	461	783		59	430	731		0	-31				
0740	Eskilstuna 5)	Eskilstuna	0484	1	2 981	60 185	2 019		3 105	64 679	2 083		124	4 494				
0744	Flen	Flen	0482		444	6 114	1 378		445	6 229	1 400		1	115				
0748	Forssjö	Katrineholm	0483		63	513	810		63	537	849		0	24				
0752	Gnesta 28)	Gnesta	0461	1	375	5 208	1 390		386	5 562	1 441		11	354				
0756	Hållsta	Eskilstuna	0484		86	804	931		86	823	953		0	19				
0760	Hällberga	Eskilstuna	0484	1	74	616	832		74	612	826		0	-4				
0764	Hällbybrunn	Eskilstuna	0484	1	308	3 374	1 095		308	3 296	1 070		0	-78				
0768	Hälleforsnäs	Flen	0482		244	1 747	716		244	1 585	650		0	-162				
0772	Härad	Strängnäs	0486		57	494	873		57	508	897		0	14				
0776	Högsjö	Vingåker	0428	1	99	779	785		99	713	719		0	-66				
0780	Jönåker	Nyköping	0480		96	610	637		96	617	645		0	7				
0784	Katrineholm	Katrineholm	0483	1	1 104	21 386	1 938		1 146	21 993	1 919		43	607				
0788	Kjulaås	Eskilstuna	0484		100	851	849		100	837	835		0	-14				
0796	Malmköping	Flen	0482		129	2 000	1 552		131	1 977	1 514		2	-23				
0800	Mariefred	Strängnäs	0486		251	3 813	1 522		251	3 726	1 487		0	-87				
0798	Marielund 	Strängnäs	0486						21	416	1 949							
0802	Marmorbyn	Vingåker	0428		49	389	800		49	382	785		0	-7				
0804	Mellösa	Flen	0482		87	551	632		87	535	614		0	-16				
0806	Merlänna	Strängnäs	0486		46	370	813		46	356	782		0	-14				
0812	Nyköping 6)	Nyköping	0480		1 224	27 720	2 265		1 343	29 891	2 225		120	2 171				
0816	Nävekvarn	Nyköping	0480	1	111	858	774		111	795	713		1	-63				
0822	Orrhammar 7)	Flen	0482		104	322	309				 							
0818	Oxbacken 8)	Nyköping	0480		18	220	1 235				 							
0820	Oxelösund	Oxelösund	0481	1	1 155	10 843	939		1 157	10 870	939		2	27				
0828	Runtuna	Nyköping	0480		35	268	766		35	250	715		0	-18				
0832	Sjösa	Nyköping	0480	1	52	477	914		52	483	926		0	6				
0836	Skebokvarn	Flen	0482		61	218	358				 							
0840	Skogstorp	Eskilstuna	0484	1	264	2 803	1 062		265	2 860	1 081		1	57				
0844	Sköldinge	Katrineholm	0483		101	630	622		101	604	596		0	-26				
0848	Sparreholm	Flen	0482		116	811	700		116	741	639		0	-70				
0852	Stallarholmen	Strängnäs	0486		168	1 487	888		195	1 623	832		28	136				
0854	Stavsjö	Nyköping	0480		28	221	779		28	212	748		0	-9				
0790	Stensund och Krymla	Trosa	0488		87	347	400		87	346	399		0	-1				
